Identifiant du bureau de vote,Numéro du bureau de vote,geo_shape,geo_point_2d,Libellé du bureau de vote,Adresse,Code Postal
18-1,001,"{""coordinates"": [2.344687211542814, 48.89230356234001], ""type"": ""Point""}","48.89230356234001,2.344687211542814",MAIRIE D'ARRONDISSEMENT,1 PLACE JULES JOFFRIN,75018
17-22,022,"{""coordinates"": [2.324907367489848, 48.89647898099357], ""type"": ""Point""}","48.89647898099357,2.324907367489848",ECOLE ELEMENTAIRE,1 RUE JACQUES KELLNER,75017
18-6,006,"{""coordinates"": [2.344513080958964, 48.89130095570097], ""type"": ""Point""}","48.89130095570097,2.344513080958964",ECOLE ELEMENTAIRE,20 RUE HERMEL,75018
18-61,061,"{""coordinates"": [2.36263208939538, 48.890753000242164], ""type"": ""Point""}","48.890753000242164,2.36263208939538",ECOLE ELEMENTAIRE,2 RUE DE LA GUADELOUPE,75018
18-30,030,"{""coordinates"": [2.328145781784834, 48.88688946329716], ""type"": ""Point""}","48.88688946329716,2.328145781784834",LYCEE TECHNOLOGIQUE AUGUSTE RENOIR,24 RUE GANNERON,75018
18-65,065,"{""coordinates"": [2.369644927853077, 48.899912686909765], ""type"": ""Point""}","48.899912686909765,2.369644927853077",ECOLE ELEMENTAIRE,2BIS RUE CHARLES HERMITE,75018
18-49,049,"{""coordinates"": [2.337228725418324, 48.89998158906887], ""type"": ""Point""}","48.89998158906887,2.337228725418324",ECOLE MATERNELLE,2 PLACE FRANCOISE DORLEAC,75018
17-58,058,"{""coordinates"": [2.28550631497333, 48.88495140132992], ""type"": ""Point""}","48.88495140132992,2.28550631497333",ECOLE MATERNELLE,22 AVENUE DE LA PORTE DE VILLIERS,75017
17-34,034,"{""coordinates"": [2.325928356043653, 48.88905364690923], ""type"": ""Point""}","48.88905364690923,2.325928356043653",ECOLE ELEMENTAIRE,23 AVENUE DE SAINT OUEN,75017
17-50,050,"{""coordinates"": [2.304946096913369, 48.885318552589226], ""type"": ""Point""}","48.885318552589226,2.304946096913369",ECOLE ELEMENTAIRE,18 RUE AMPERE,75017
17-1,001,"{""coordinates"": [2.321758819623866, 48.884525211215475], ""type"": ""Point""}","48.884525211215475,2.321758819623866",MAIRIE D'ARRONDISSEMENT,18 RUE DES BATIGNOLLES,75017
18-62,062,"{""coordinates"": [2.36263208939538, 48.890753000242164], ""type"": ""Point""}","48.890753000242164,2.36263208939538",ECOLE ELEMENTAIRE,2 RUE DE LA GUADELOUPE,75018
18-64,064,"{""coordinates"": [2.365122400585114, 48.89406873160156], ""type"": ""Point""}","48.89406873160156,2.365122400585114",ECOLE ELEMENTAIRE,33 RUE DE L EVANGILE,75018
18-55,055,"{""coordinates"": [2.355237518729723, 48.886358052233824], ""type"": ""Point""}","48.886358052233824,2.355237518729723",ECOLE ELEMENTAIRE,8 RUE SAINT MATHIEU,75018
18-34,034,"{""coordinates"": [2.330726723915864, 48.891548334456964], ""type"": ""Point""}","48.891548334456964,2.330726723915864",ECOLE ELEMENTAIRE,29 RUE JOSEPH DE MAISTRE,75018
17-55,055,"{""coordinates"": [2.293324667662588, 48.88088776297152], ""type"": ""Point""}","48.88088776297152,2.293324667662588",RESIDENCE DES TERNES,28 RUE BAYEN,75017
17-24,024,"{""coordinates"": [2.327430039573486, 48.89512100469187], ""type"": ""Point""}","48.89512100469187,2.327430039573486",LYCEE D'ENSEIGNEMENT COMMERCIAL,1 RUE ARTHUR BRIERE,75017
17-4,004,"{""coordinates"": [2.322540242696546, 48.884930243222385], ""type"": ""Point""}","48.884930243222385,2.322540242696546",ECOLE ELEMENTAIRE,15 RUE TRUFFAUT,75017
18-21,021,"{""coordinates"": [2.344306390516829, 48.885013867551436], ""type"": ""Point""}","48.885013867551436,2.344306390516829",GYMNASE RONSARD,2 RUE RONSARD,75018
18-36,036,"{""coordinates"": [2.335810572389457, 48.89077288743592], ""type"": ""Point""}","48.89077288743592,2.335810572389457",ECOLE MATERNELLE,4 SQUARE LAMARCK,75018
18-57,057,"{""coordinates"": [2.352181939489183, 48.88641673283964], ""type"": ""Point""}","48.88641673283964,2.352181939489183",ECOLE ELEMENTAIRE,9 RUE RICHOMME,75018
18-46,046,"{""coordinates"": [2.335407144801414, 48.89632115955044], ""type"": ""Point""}","48.89632115955044,2.335407144801414",ECOLE ELEMENTAIRE,131 RUE BELLIARD,75018
18-12,012,"{""coordinates"": [2.344880362526279, 48.89589084717375], ""type"": ""Point""}","48.89589084717375,2.344880362526279",ECOLE MATERNELLE,72 RUE CHAMPIONNET,75018
18-9,009,"{""coordinates"": [2.344358998024179, 48.893951057795334], ""type"": ""Point""}","48.893951057795334,2.344358998024179",ECOLE ELEMENTAIRE,16BIS RUE SAINTE ISAURE,75018
18-33,033,"{""coordinates"": [2.329820195335964, 48.89161761960294], ""type"": ""Point""}","48.89161761960294,2.329820195335964",COLLEGE ANTOINE COYSEVOX,16 RUE COYSEVOX,75018
18-22,022,"{""coordinates"": [2.342390890062967, 48.88466921909152], ""type"": ""Point""}","48.88466921909152,2.342390890062967",ECOLE ELEMENTAIRE,1 PLACE SUZANNE VALADON,75018
17-48,048,"{""coordinates"": [2.306442342891127, 48.883612248079366], ""type"": ""Point""}","48.883612248079366,2.306442342891127",LYCEE CARNOT,56 AVENUE DE VILLIERS,75017
17-3,003,"{""coordinates"": [2.322540242696546, 48.884930243222385], ""type"": ""Point""}","48.884930243222385,2.322540242696546",ECOLE ELEMENTAIRE,15 RUE TRUFFAUT,75017
17-23,023,"{""coordinates"": [2.327493430804699, 48.896558690521466], ""type"": ""Point""}","48.896558690521466,2.327493430804699",ECOLE MATERNELLE,12 PASSAGE SAINT ANGE,75017
17-2,002,"{""coordinates"": [2.322540249514442, 48.88493024326096], ""type"": ""Point""}","48.88493024326096,2.322540249514442",ECOLE ELEMENTAIRE,15 RUE TRUFFAUT,75017
17-31,031,"{""coordinates"": [2.325594516525339, 48.892040018910635], ""type"": ""Point""}","48.892040018910635,2.325594516525339",ECOLE ELEMENTAIRE,19 RUE DU CAPITAINE LAGACHE,75017
17-40,040,"{""coordinates"": [2.295258694912166, 48.88816575864977], ""type"": ""Point""}","48.88816575864977,2.295258694912166",ECOLE ELEMENTAIRE,40 BOULEVARD DE REIMS,75017
17-56,056,"{""coordinates"": [2.290114140132448, 48.88354987789066], ""type"": ""Point""}","48.88354987789066,2.290114140132448",ECOLE MATERNELLE BAYEN,56 RUE BAYEN,75017
17-17,017,"{""coordinates"": [2.304461806631211, 48.890576921199425], ""type"": ""Point""}","48.890576921199425,2.304461806631211",COLLEGE BORIS VIAN,76 BOULEVARD BERTHIER,75017
17-11,011,"{""coordinates"": [2.3152503852402893, 48.88519314147329], ""type"": ""Point""}","48.88519314147329,2.3152503852402893",ECOLE MATERNELLE,48 RUE DE SAUSSURE,75017
